instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
SCOOP\scoop-A_AP-9.d_10,0.000,(13;26),0.333,0.000,(13;26),0.333,0.000,(13;26),0.333,0.000,(12;24),0.364
SCOOP\scoop-A_AP-9.d_11,0.000,(21;47),0.224,0.000,(16;28),0.233,0.000,(21;47),0.224,0.000,(19;43),0.251
SCOOP\scoop-A_AP-9.d_3,0.000,(16;30),0.250,0.000,(13;19),0.244,0.000,(16;30),0.250,0.000,(16;30),0.250
SCOOP\scoop-A_AP-9.d_6,0.000,(20;26),0.137,0.000,(18;23),0.150,0.000,(20;26),0.137,0.000,(19;24),0.140
SCOOP\scoop-A_FA+AA-_1,0.000,(37;128),0.192,0.001,(37;128),0.192,0.000,(37;128),0.192,0.000,(37;128),0.192
SCOOP\scoop-A_FA+AA-_11,0.000,(28;53),0.140,0.001,(28;53),0.140,0.000,(28;53),0.140,0.000,(28;53),0.140
SCOOP\scoop-A_FA+AA-_12,0.000,(20;47),0.247,0.000,(18;45),0.294,0.000,(20;47),0.247,0.000,(20;47),0.247
SCOOP\scoop-A_FA+AA-_13,0.000,(37;116),0.174,0.001,(36;113),0.179,0.000,(37;116),0.174,0.000,(37;116),0.174
SCOOP\scoop-A_FA+AA-_15,0.000,(18;31),0.203,0.000,(18;31),0.203,0.000,(18;31),0.203,0.000,(16;27),0.225
SCOOP\scoop-A_FA+AA-_2,0.000,(19;33),0.193,0.000,(17;29),0.213,0.000,(19;33),0.193,0.000,(18;31),0.203
SCOOP\scoop-A_FA+AA-_6,0.000,(21;59),0.281,0.000,(21;59),0.281,0.000,(21;59),0.281,0.000,(21;59),0.281
SCOOP\scoop-A_FA+AA-_8,0.000,(28;79),0.209,0.001,(28;79),0.209,0.000,(28;79),0.209,0.000,(28;79),0.209
SCOOP\scoop-B_12F18_11,0.000,(15;32),0.305,0.000,(14;30),0.330,0.000,(15;32),0.305,0.000,(15;32),0.305
SCOOP\scoop-B_12M18_12,0.000,(22;73),0.316,0.000,(18;47),0.307,0.000,(22;73),0.316,0.000,(22;73),0.316
SCOOP\scoop-B_18AB1_32,0.000,(11;30),0.545,0.000,(9;28),0.778,0.000,(11;30),0.545,0.000,(11;30),0.545
SCOOP\scoop-B_18CR1_33,0.000,(18;25),0.163,0.000,(12;14),0.212,0.000,(18;25),0.163,0.000,(14;19),0.209
SCOOP\scoop-B_22X18_50,0.000,(10;31),0.689,0.000,(9;27),0.750,0.000,(10;31),0.689,0.000,(10;31),0.689
SCOOP\scoop-B_23B25_52,0.000,(21;39),0.186,0.000,(16;23),0.192,0.000,(21;39),0.186,0.000,(20;37),0.195
SCOOP\scoop-B_39Q18_82,0.000,(10;32),0.711,0.000,(8;18),0.643,0.000,(10;32),0.711,0.000,(10;32),0.711
SCOOP\scoop-B_42F22_93,0.000,(10;14),0.311,0.000,(9;13),0.361,0.000,(10;14),0.311,0.000,(10;14),0.311
SCOOP\scoop-B_CARLET_137,0.000,(12;29),0.439,0.000,(8;15),0.536,0.000,(12;29),0.439,0.000,(12;29),0.439
SCOOP\scoop-B_CUC28A_138,0.000,(26;91),0.280,0.001,(17;40),0.294,0.000,(26;91),0.280,0.000,(26;91),0.280
SCOOP\scoop-B_GTM18A_139,0.000,(20;39),0.205,0.000,(15;20),0.190,0.000,(20;39),0.205,0.000,(19;37),0.216
SCOOP\scoop-B_REVAL_145,0.000,(49;192),0.163,0.001,(40;131),0.168,0.000,(49;192),0.163,0.001,(49;192),0.163
